"","stuID","schID","gender","trans_stu","transe_pa","transe_re","transe_re_etc","pre_frendship_1","pre_frendship_2","pre_frendship_3","pre_frendship_4","pre_frendship_5","post_frendship_1","post_frendship_2","post_frendship_3","post_frendship_4","post_frendship_5","post_frendship_6","satisfac_stu_1","satisfac_stu_2","satisfac_stu_3","satisfac_stu_4","satisfac_stu_5","satisfac_pa_safety_1","satisfac_pa_safety_2","satisfac_pa_safety_3","satisfac_pa_safety_4","satisfac_pa_safety_5","satisfac_pa_safety_6","satisfac_pa_edu_1","satisfac_pa_edu_2","satisfac_pa_edu_3","satisfac_pa_edu_4","satisfac_pa_edu_5","satisfac_pa_edu_6","satisfac_pa_edu_7","satisfac_pa_edu_8","enthu_pa_1","enthu_pa_2","enthu_pa_3","enthu_pa_4","enthu_pa_5","tutoring_hakwon","tutoring_private","tutoring_online","SES","prefer_Hsch_dum_1","prefer_Hsch_dum_2","prefer_Hsch_dum_3","prefer_Hsch_dum_4","prefer_Hsch_dum_5","prefer_Hsch_dum_6","prefer_Hsch_dum_7","prefer_Hsch_dum_8","prefer_Hsch_dum_9","prefer_Hsch_dum_10","academic_abil","regional_scale","multicultur_per","L2Y3_REG","L2Y3DB2_2_2","L2Y3DB2_3_1","L2Y3DB2_3_2"
"3967",4012,5293,2,2,2,NA,NA,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,3,-1,5,5,5,4,4,4,4,5,5,3,4,2,2,4,2,4,0,0,0,90,0,1,0,0,0,0,0,0,0,0,"145.3333333",NA,NA,4,NA,NA,NA
"3968",4013,4950,1,2,2,NA,NA,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,-5,-5,-0.5,260,1,0,0,0,0,0,0,0,0,0,"221.3333333",NA,NA,3,208,3,0
"3969",4014,4968,1,2,2,NA,NA,5,5,5,5,5,4,4,3,4,4,4,5,5,1,5,5,5,5,3,4,4,4,4,4,5,3,5,4,4,4,2,2,2,2,2,6,-5,-5,600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"257.3333333",NA,NA,3,361,4,0
"3970",4015,4968,2,2,2,NA,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,-5,-3,400,1,0,0,0,0,0,0,0,0,0,"237",NA,NA,3,361,4,0
"3971",4016,4967,2,2,2,NA,NA,4,3,4,4,4,3,3,5,3,5,4,3,3,2,3,3,3,4,4,3,3,4,4,4,4,4,5,4,5,5,4,4,2,4,1,3,-1,-5,400,1,0,0,0,0,0,0,0,0,0,"197.6666667",NA,NA,3,356,10,0
"3972",4017,4968,1,2,2,NA,NA,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,5,5,2,2,1,1,4,2,4,1,4,4,3,2,1,8,0,0,700,1,0,0,0,0,0,0,0,0,0,"211.6666667",NA,NA,3,361,4,0
"3973",4018,4968,1,1,1,6,"예술교육을 위하여",3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,2,2,3,4,2,1,4,3,3,2,1,4,2,3,4,5,5,5,5,5,0,0,0,2000,0,0,0,0,1,0,0,0,0,0,"164.3333333",NA,NA,3,361,4,0
"3974",4019,4968,1,2,2,NA,NA,5,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,5,5,4,4,3,8,1,0.3,600,0,0,1,0,0,0,0,0,0,0,"275.3333333",NA,NA,3,361,4,0
"3975",4020,4968,1,2,2,NA,NA,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,3,2,2,1,2,4,4,3,4,3,3,2,4,4,5,5,4,4,4,-2,0,0,500,0,0,0,1,0,0,0,0,0,0,"261.3333333",NA,NA,3,361,4,0
"3976",4021,4968,2,2,2,NA,NA,4,4,3,4,4,4,4,1,4,1,4,3,4,3,3,3,3,4,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,2,16,0,0,500,0,0,1,0,0,0,0,0,0,0,"275.6666667",NA,NA,3,361,4,0
"3977",4022,4968,2,2,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,3,3,2,3,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,-5,-5,-5,500,1,0,0,0,0,0,0,0,0,0,"245.3333333",NA,NA,3,361,4,0
"3978",4023,4968,2,2,2,NA,NA,4,4,4,3,3,3,3,2,2,2,3,4,4,2,2,3,2,2,3,3,2,3,4,4,3,3,3,2,4,3,3,3,2,3,3,7,-5,-5,600,1,0,0,0,0,0,0,0,0,0,"253.6666667",NA,NA,3,361,4,0
