stuID,schID,gender,pre_region,trans,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per,seoul,bigcity,smallcity,rural,sch_SES,sch_academic_abil
7067,4036,1,4,0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,2,2,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,2,400,0,0,0,1,0,0,0,0,0,0,246.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7068,4036,2,4,0,5,4,5,5,4,3,3,4,4,4,4,3,3,3,5,4,3,3,3,3,3,2,2,2,3,2,3,2,2,2,3,3,3,2,2,300,1,0,0,0,0,0,0,0,0,0,197.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7070,4036,1,4,0,5,4,5,5,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,2,1000,1,0,0,0,0,0,0,0,0,0,211.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7072,4036,1,4,0,4,3,3,4,5,3,3,3,3,3,4,3,3,2,3,4,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,250,1,0,0,0,0,0,0,0,0,0,212.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7073,4238,2,4,0,5,4,5,5,4,3,2,4,3,2,4,5,5,5,5,4,2,4,2,4,2,4,4,4,2,3,4,4,3,5,4,4,4,4,2,490,1,0,0,0,0,0,0,0,0,0,245.6666667,8.955223881,0,0,0,1,700,197.4952381
7074,4238,1,4,0,4,3,3,4,4,4,3,4,4,4,4,3,3,3,4,3,3,1,1,5,1,2,3,2,2,2,2,3,4,2,5,4,3,3,5,300,0,0,0,1,0,0,0,0,0,0,166.6666667,8.955223881,0,0,0,1,700,197.4952381
7075,4238,2,4,0,4,3,3,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,4,4,3,2,2,720,1,0,0,0,0,0,0,0,0,0,220.3333333,8.955223881,0,0,0,1,700,197.4952381
7076,4236,2,3,0,4,4,3,5,4,4,4,5,5,5,5,4,4,4,3,3,2,4,3,3,4,4,4,4,4,3,4,4,4,4,2,3,2,3,4,250,0,0,0,0,1,0,0,0,0,0,196.6666667,5,0,0,1,0,433.3333333,185.3333334
7077,4238,1,4,0,4,3,3,5,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,230,0,1,0,0,0,0,0,0,0,0,162.3333333,8.955223881,0,0,0,1,700,197.4952381
7078,4238,1,4,0,4,3,3,4,4,4,4,3,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,1,300,1,1,0,0,0,0,0,0,0,0,191,8.955223881,0,0,0,1,700,197.4952381
7079,4238,2,4,0,5,4,4,4,4,4,4,4,4,4,4,3,4,2,3,3,3,2,2,3,3,3,4,4,4,3,4,4,3,4,3,2,3,3,2,300,0,0,0,1,0,0,0,0,0,0,232,8.955223881,0,0,0,1,700,197.4952381
7080,4238,2,4,0,5,4,5,5,4,2,1,1,1,1,3,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,350,1,0,0,0,0,0,0,0,0,0,205,8.955223881,0,0,0,1,700,197.4952381
7081,4238,2,4,0,5,4,5,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,3,4,4,3,3,3,4,4,3,3,430,0,0,0,0,1,0,0,0,0,0,163.6666667,8.955223881,0,0,0,1,700,197.4952381
7082,4238,2,4,0,4,3,3,4,3,4,4,4,4,4,4,3,4,2,3,3,3,4,3,2,2,1,3,3,3,3,2,3,3,2,3,4,2,3,1,300,0,1,0,0,0,0,0,0,0,0,222.6666667,8.955223881,0,0,0,1,700,197.4952381
7083,4238,2,4,0,5,5,5,5,5,3,4,5,5,5,5,4,4,3,3,4,4,4,3,4,4,4,4,4,5,3,5,4,4,5,3,4,4,4,3,200,0,0,0,0,0,0,1,0,0,0,221.6666667,8.955223881,0,0,0,1,700,197.4952381
7084,4238,2,4,0,5,3,5,5,3,3,3,4,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,450,0,1,0,0,0,0,0,0,0,0,174,8.955223881,0,0,0,1,700,197.4952381
