stuID,schID,gender,pre_region,trans_stu,transe_pa,transe_re,transe_re_etc,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,tutoring_hakwon,tutoring_private,tutoring_online,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per
1095,4614,1,1,2,2,#N/A,#N/A,5,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,1,12,0,0,300,1,0,0,0,0,0,0,0,0,0,228,2.236421725
1096,4614,1,1,2,2,#N/A,#N/A,4,4,4,4,4,5,5,5,5,5,5,4,4,3,5,4,3,2,4,3,4,4,4,5,4,4,4,4,4,4,2,4,4,3,4,22,0,0,300,0,0,0,0,1,0,0,0,0,0,152.3333333,2.236421725
1097,4614,1,1,2,2,#N/A,#N/A,4,4,4,4,3,4,3,2,3,1,3,4,4,4,4,4,5,3,5,5,4,5,4,4,4,4,4,4,5,5,4,5,3,4,3,-5,-5,14,300,0,0,0,0,0,1,0,0,0,0,218,2.236421725
1098,4604,1,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,3,4,4,4,4,2,4,4,3,4,5,4,5,4,4,0,-5,1,1100,0,0,1,0,0,0,0,0,0,0,250,0
1099,4621,2,1,1,1,4,#N/A,4,4,3,4,4,4,4,4,4,3,4,3,4,3,2,3,3,3,3,3,2,3,3,3,3,2,2,4,2,3,4,4,3,4,4,9,0,0.2,600,0,0,0,0,0,0,0,1,0,0,269,3.557312253
1100,4614,1,1,2,2,#N/A,#N/A,4,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,2,1,3,3,3,4,3,5,3,4,4,4,4,3,3,1,16,0,0,500,1,0,0,0,0,0,0,0,0,0,207.3333333,2.236421725
1101,4614,2,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,1,3,2,2,3,2,2,3,3,2,2,3,3,4,4,4,3,2,-5,5,-5,350,1,0,0,0,0,0,0,0,0,0,245,2.236421725
1102,4621,2,1,2,2,#N/A,#N/A,3,3,3,4,4,3,3,1,3,2,3,2,2,2,3,3,3,1,2,3,2,3,2,2,2,3,2,2,3,2,3,3,4,3,4,-5,-5,-5,450,0,0,0,0,0,1,0,0,0,0,236.3333333,3.557312253
1103,4614,1,1,2,2,#N/A,#N/A,4,3,4,5,4,4,4,5,4,4,5,3,3,3,4,3,4,3,4,4,3,3,4,4,4,3,4,3,4,3,3,4,3,4,4,11,0,0,460,0,0,0,1,0,0,0,0,0,0,232.3333333,2.236421725
1104,4614,1,1,2,2,#N/A,#N/A,5,4,4,5,5,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,9,-5,-5,800,0,0,0,0,0,0,0,1,0,0,208,2.236421725
1105,4614,2,1,2,2,#N/A,#N/A,4,4,4,4,4,4,4,5,4,4,4,4,4,5,3,4,3,3,3,3,3,2,3,3,2,3,3,3,3,3,4,3,3,2,3,12,9,0,450,1,0,0,0,0,0,0,0,0,0,231.6666667,2.236421725
